time_identifier,time_period,geographic_level,country_code,country_name,school_type,percentage_band,percentage,enrolments_overall,enrolments_overall_percent,enrolments_authorised,enrolments_authorised_percent,enrolments_unauthorised,enrolments_unauthorised_percent
six half terms,201617,national,E92000001,England,Total,Total,Total,6899770,100,6899770,100,6899770,100
six half terms,201617,national,E92000001,England,Total,0.00-9.99,0,566965,8.2,777185,11.3,4086795,59.2
six half terms,201617,national,E92000001,England,Total,0.00-9.99,0.01 - 0.99,736260,10.7,938655,13.6,974555,14.1
six half terms,201617,national,E92000001,England,Total,0.00-9.99,1.00 - 1.99,1125315,16.3,1355730,19.6,597960,8.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,2.00 - 2.99,931980,13.5,1025695,14.9,387055,5.6
six half terms,201617,national,E92000001,England,Total,0.00-9.99,3.00 - 3.99,762080,11,762440,11.1,239445,3.5
six half terms,201617,national,E92000001,England,Total,0.00-9.99,4.00 - 4.99,518830,7.5,482900,7,132905,1.9
six half terms,201617,national,E92000001,England,Total,0.00-9.99,5.00 - 5.99,492285,7.1,424300,6.1,116010,1.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,6.00 - 6.99,375360,5.4,298780,4.3,74370,1.1
six half terms,201617,national,E92000001,England,Total,0.00-9.99,7.00 - 7.99,286275,4.1,212475,3.1,50890,0.7
six half terms,201617,national,E92000001,England,Total,0.00-9.99,8.00 - 8.99,217620,3.2,149555,2.2,36725,0.5
six half terms,201617,national,E92000001,England,Total,0.00-9.99,9.00 - 9.99,142525,2.1,92010,1.3,23890,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,10.00 - 10.99,134190,1.9,82170,1.2,23685,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,11.00 - 11.99,99330,1.4,57200,0.8,18095,0.3
six half terms,201617,national,E92000001,England,Total,10.00-19.99,12.00 - 12.99,75810,1.1,42020,0.6,14635,0.2
six half terms,201617,national,E92000001,England,Total,10.00-19.99,13.00 - 13.99,58030,0.8,30740,0.4,11470,0.2
six half terms,201617,national,E92000001,England,Total,10.00-19.99,14.00 - 14.99,43360,0.6,22605,0.3,9120,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,15.00 - 15.99,39115,0.6,19670,0.3,8545,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,16.00 - 16.99,31705,0.5,15790,0.2,7390,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,17.00 - 17.99,26055,0.4,12240,0.2,6165,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,18.00 - 18.99,21055,0.3,9895,0.1,5350,0.1
six half terms,201617,national,E92000001,England,Total,10.00-19.99,19.00 - 19.99,16450,0.2,7470,0.1,4130,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,20.00 - 20.99,17135,0.2,7950,0.1,4975,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,21.00 - 21.99,13530,0.2,6270,0.1,3730,0.1
six half terms,201617,national,E92000001,England,Total,20.00-29.99,22.00 - 22.99,11775,0.2,5175,0.1,3365,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,23.00 - 23.99,10460,0.2,4605,0.1,3015,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,24.00 - 24.99,8010,0.1,3315,0,2320,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,25.00 - 25.99,9370,0.1,4135,0.1,2985,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,26.00 - 26.99,7255,0.1,3185,0,2335,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,27.00 - 27.99,6520,0.1,2720,0,2040,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,28.00 - 28.99,6045,0.1,2605,0,2060,0
six half terms,201617,national,E92000001,England,Total,20.00-29.99,29.00 - 29.99,4920,0.1,1930,0,1695,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,30.00 - 30.99,5450,0.1,2250,0,1835,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,31.00 - 31.99,4520,0.1,1860,0,1550,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,32.00 - 32.99,4270,0.1,1675,0,1490,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,33.00 - 33.99,4305,0.1,1900,0,1590,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,34.00 - 34.99,3290,0,1365,0,1270,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,35.00 - 35.99,3360,0,1395,0,1220,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,36.00 - 36.99,3145,0,1230,0,1140,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,37.00 - 37.99,3040,0,1235,0,1060,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,38.00 - 38.99,2695,0,1070,0,970,0
six half terms,201617,national,E92000001,England,Total,30.00-39.99,39.00 - 39.99,2320,0,910,0,815,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,40.00 - 40.99,2770,0,1140,0,1085,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,41.00 - 41.99,2290,0,935,0,865,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,42.00 - 42.99,2285,0,910,0,850,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,43.00 - 43.99,2045,0,755,0,730,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,44.00 - 44.99,1940,0,750,0,735,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,45.00 - 45.99,1820,0,730,0,660,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,46.00 - 46.99,1790,0,730,0,630,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,47.00 - 47.99,1635,0,595,0,625,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,48.00 - 48.99,1580,0,640,0,590,0
six half terms,201617,national,E92000001,England,Total,40.00-49.99,49.00 - 49.99,1135,0,410,0,400,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,50.00 - 50.99,2525,0,1095,0,1150,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,51.00 - 51.99,1325,0,505,0,500,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,52.00 - 52.99,1370,0,540,0,550,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,53.00 - 53.99,1305,0,515,0,495,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,54.00 - 54.99,1200,0,400,0,420,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,55.00 - 55.99,1215,0,465,0,480,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,56.00 - 56.99,1170,0,425,0,430,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,57.00 - 57.99,1165,0,435,0,430,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,58.00 - 58.99,1040,0,335,0,415,0
six half terms,201617,national,E92000001,England,Total,50.00-59.99,59.00 - 59.99,870,0,270,0,330,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,60.00 - 60.99,1160,0,385,0,525,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,61.00 - 61.99,920,0,280,0,375,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,62.00 - 62.99,955,0,350,0,380,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,63.00 - 63.99,850,0,265,0,335,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,64.00 - 64.99,775,0,255,0,305,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,65.00 - 65.99,785,0,280,0,270,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,66.00 - 66.99,1025,0,370,0,440,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,67.00 - 67.99,675,0,205,0,275,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,68.00 - 68.99,755,0,245,0,280,0
six half terms,201617,national,E92000001,England,Total,60.00-69.99,69.00 - 69.99,660,0,200,0,240,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,70.00 - 70.99,740,0,260,0,255,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,71.00 - 71.99,680,0,210,0,270,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,72.00 - 72.99,620,0,205,0,245,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,73.00 - 73.99,620,0,175,0,260,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,74.00 - 74.99,480,0,130,0,185,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,75.00 - 75.99,785,0,235,0,315,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,76.00 - 76.99,590,0,180,0,240,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,77.00 - 77.99,510,0,165,0,185,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,78.00 - 78.99,520,0,150,0,220,0
six half terms,201617,national,E92000001,England,Total,70.00-79.99,79.00 - 79.99,435,0,125,0,180,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,80.00 - 80.99,670,0,210,0,300,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,81.00 - 81.99,485,0,120,0,195,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,82.00 - 82.99,420,0,115,0,175,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,83.00 - 83.99,580,0,170,0,235,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,84.00 - 84.99,435,0,100,0,175,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,85.00 - 85.99,520,0,125,0,205,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,86.00 - 86.99,430,0,130,0,185,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,87.00 - 87.99,430,0,130,0,160,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,88.00 - 88.99,440,0,120,0,180,0
six half terms,201617,national,E92000001,England,Total,80.00-89.99,89.00 - 89.99,335,0,95,0,125,0
six half terms,201617,national,E92000001,England,Total,90+,90.00 - 90.99,460,0,125,0,210,0
six half terms,201617,national,E92000001,England,Total,90+,91.00 - 91.99,430,0,105,0,175,0
six half terms,201617,national,E92000001,England,Total,90+,92.00 - 92.99,415,0,105,0,155,0
six half terms,201617,national,E92000001,England,Total,90+,93.00 - 93.99,370,0,100,0,170,0
six half terms,201617,national,E92000001,England,Total,90+,94.00 - 94.99,395,0,100,0,185,0
six half terms,201617,national,E92000001,England,Total,90+,95.00 - 95.99,385,0,105,0,190,0
six half terms,201617,national,E92000001,England,Total,90+,96.00 - 96.99,440,0,120,0,195,0
six half terms,201617,national,E92000001,England,Total,90+,97.00 - 97.99,420,0,120,0,180,0
six half terms,201617,national,E92000001,England,Total,90+,98.00 - 98.99,415,0,110,0,200,0
six half terms,201617,national,E92000001,England,Total,90+,99.00+,12265,0.2,3920,0.1,7385,0.1
six half terms,201617,national,E92000001,England,State-funded primary,Total,Total,3909500,100,3909500,100,3909500,100
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,0,328845,8.4,462055,11.8,2302195,58.9
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,0.01 - 0.99,436175,11.2,569255,14.6,550335,14.1
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,1.00 - 1.99,684360,17.5,830910,21.3,355330,9.1
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,2.00 - 2.99,563505,14.4,611225,15.6,245945,6.3
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,3.00 - 3.99,450200,11.5,432525,11.1,145605,3.7
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,4.00 - 4.99,294725,7.5,259455,6.6,77830,2
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,5.00 - 5.99,278780,7.1,223980,5.7,67995,1.7
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,6.00 - 6.99,208345,5.3,152825,3.9,41625,1.1
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,7.00 - 7.99,154640,4,104710,2.7,26130,0.7
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,8.00 - 8.99,113905,2.9,71150,1.8,18320,0.5
six half terms,201617,national,E92000001,England,State-funded primary,0.00-9.99,9.00 - 9.99,70790,1.8,41245,1.1,10935,0.3
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,10.00 - 10.99,68940,1.8,37655,1,11160,0.3
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,11.00 - 11.99,50135,1.3,25575,0.7,8035,0.2
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,12.00 - 12.99,37075,0.9,18050,0.5,6245,0.2
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,13.00 - 13.99,27470,0.7,12640,0.3,4710,0.1
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,14.00 - 14.99,19615,0.5,8645,0.2,3655,0.1
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,15.00 - 15.99,17820,0.5,7520,0.2,3400,0.1
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,16.00 - 16.99,13765,0.4,5930,0.2,2740,0.1
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,17.00 - 17.99,11110,0.3,4385,0.1,2310,0.1
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,18.00 - 18.99,8640,0.2,3330,0.1,1950,0
six half terms,201617,national,E92000001,England,State-funded primary,10.00-19.99,19.00 - 19.99,6425,0.2,2380,0.1,1385,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,20.00 - 20.99,6855,0.2,2805,0.1,1880,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,21.00 - 21.99,5235,0.1,2015,0.1,1260,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,22.00 - 22.99,4370,0.1,1640,0,1145,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,23.00 - 23.99,3790,0.1,1440,0,1000,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,24.00 - 24.99,2715,0.1,920,0,685,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,25.00 - 25.99,3425,0.1,1335,0,1035,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,26.00 - 26.99,2535,0.1,935,0,710,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,27.00 - 27.99,2245,0.1,760,0,630,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,28.00 - 28.99,1995,0.1,735,0,600,0
six half terms,201617,national,E92000001,England,State-funded primary,20.00-29.99,29.00 - 29.99,1495,0,510,0,470,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,30.00 - 30.99,1760,0,670,0,550,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,31.00 - 31.99,1390,0,500,0,420,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,32.00 - 32.99,1260,0,415,0,380,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,33.00 - 33.99,1385,0,555,0,480,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,34.00 - 34.99,1000,0,380,0,325,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,35.00 - 35.99,990,0,360,0,350,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,36.00 - 36.99,885,0,335,0,280,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,37.00 - 37.99,835,0,360,0,280,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,38.00 - 38.99,740,0,290,0,245,0
six half terms,201617,national,E92000001,England,State-funded primary,30.00-39.99,39.00 - 39.99,630,0,235,0,175,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,40.00 - 40.99,815,0,340,0,285,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,41.00 - 41.99,615,0,265,0,215,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,42.00 - 42.99,610,0,275,0,205,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,43.00 - 43.99,540,0,200,0,140,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,44.00 - 44.99,520,0,235,0,175,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,45.00 - 45.99,475,0,205,0,150,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,46.00 - 46.99,445,0,185,0,130,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,47.00 - 47.99,390,0,160,0,125,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,48.00 - 48.99,380,0,155,0,115,0
six half terms,201617,national,E92000001,England,State-funded primary,40.00-49.99,49.00 - 49.99,245,0,100,0,55,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,50.00 - 50.99,795,0,380,0,395,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,51.00 - 51.99,345,0,135,0,80,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,52.00 - 52.99,345,0,165,0,125,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,53.00 - 53.99,305,0,135,0,95,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,54.00 - 54.99,260,0,115,0,85,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,55.00 - 55.99,275,0,135,0,100,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,56.00 - 56.99,250,0,110,0,70,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,57.00 - 57.99,260,0,120,0,90,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,58.00 - 58.99,210,0,85,0,85,0
six half terms,201617,national,E92000001,England,State-funded primary,50.00-59.99,59.00 - 59.99,175,0,45,0,45,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,60.00 - 60.99,310,0,115,0,125,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,61.00 - 61.99,180,0,65,0,80,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,62.00 - 62.99,215,0,100,0,70,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,63.00 - 63.99,185,0,75,0,60,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,64.00 - 64.99,165,0,65,0,50,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,65.00 - 65.99,150,0,65,0,50,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,66.00 - 66.99,250,0,115,0,110,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,67.00 - 67.99,120,0,35,0,50,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,68.00 - 68.99,145,0,55,0,55,0
six half terms,201617,national,E92000001,England,State-funded primary,60.00-69.99,69.00 - 69.99,105,0,45,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,70.00 - 70.99,165,0,70,0,50,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,71.00 - 71.99,125,0,45,0,50,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,72.00 - 72.99,115,0,50,0,45,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,73.00 - 73.99,105,0,40,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,74.00 - 74.99,75,0,30,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,75.00 - 75.99,170,0,55,0,70,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,76.00 - 76.99,110,0,45,0,40,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,77.00 - 77.99,85,0,40,0,25,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,78.00 - 78.99,75,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,70.00-79.99,79.00 - 79.99,60,0,20,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,80.00 - 80.99,150,0,55,0,70,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,81.00 - 81.99,75,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,82.00 - 82.99,50,0,15,0,20,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,83.00 - 83.99,105,0,40,0,55,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,84.00 - 84.99,70,0,15,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,85.00 - 85.99,75,0,30,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,86.00 - 86.99,65,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,87.00 - 87.99,65,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,88.00 - 88.99,75,0,30,0,25,0
six half terms,201617,national,E92000001,England,State-funded primary,80.00-89.99,89.00 - 89.99,30,0,10,0,15,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,90.00 - 90.99,85,0,30,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,91.00 - 91.99,70,0,15,0,25,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,92.00 - 92.99,70,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,93.00 - 93.99,55,0,20,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,94.00 - 94.99,60,0,15,0,40,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,95.00 - 95.99,70,0,20,0,40,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,96.00 - 96.99,65,0,25,0,35,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,97.00 - 97.99,50,0,20,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,98.00 - 98.99,50,0,25,0,30,0
six half terms,201617,national,E92000001,England,State-funded primary,90+,99.00+,6205,0.2,1675,0,4265,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,Total,Total,2895975,100,2895975,100,2895975,100
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,0,234490,8.1,310270,10.7,1726230,59.6
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,0.01 - 0.99,293990,10.2,362195,12.5,411085,14.2
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,1.00 - 1.99,430785,14.9,513215,17.7,235765,8.1
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,2.00 - 2.99,359050,12.4,404035,14,137615,4.8
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,3.00 - 3.99,303355,10.5,320745,11.1,91530,3.2
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,4.00 - 4.99,217755,7.5,216845,7.5,53665,1.9
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,5.00 - 5.99,206965,7.1,193550,6.7,46785,1.6
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,6.00 - 6.99,161530,5.6,140425,4.8,31895,1.1
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,7.00 - 7.99,127040,4.4,103200,3.6,24095,0.8
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,8.00 - 8.99,99805,3.4,74600,2.6,17865,0.6
six half terms,201617,national,E92000001,England,State-funded secondary,0.00-9.99,9.00 - 9.99,69015,2.4,48150,1.7,12565,0.4
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,10.00 - 10.99,62380,2.2,41760,1.4,12130,0.4
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,11.00 - 11.99,46790,1.6,29390,1,9715,0.3
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,12.00 - 12.99,36700,1.3,22195,0.8,8120,0.3
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,13.00 - 13.99,28900,1,16635,0.6,6545,0.2
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,14.00 - 14.99,22450,0.8,12810,0.4,5270,0.2
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,15.00 - 15.99,19965,0.7,11055,0.4,4940,0.2
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,16.00 - 16.99,16830,0.6,8885,0.3,4460,0.2
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,17.00 - 17.99,13950,0.5,7000,0.2,3670,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,18.00 - 18.99,11550,0.4,5905,0.2,3245,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,10.00-19.99,19.00 - 19.99,9370,0.3,4540,0.2,2640,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,20.00 - 20.99,9565,0.3,4600,0.2,2970,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,21.00 - 21.99,7680,0.3,3770,0.1,2365,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,22.00 - 22.99,6860,0.2,3115,0.1,2125,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,23.00 - 23.99,6175,0.2,2800,0.1,1920,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,24.00 - 24.99,4885,0.2,2085,0.1,1555,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,25.00 - 25.99,5510,0.2,2485,0.1,1870,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,26.00 - 26.99,4380,0.2,1995,0.1,1540,0.1
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,27.00 - 27.99,3955,0.1,1725,0.1,1355,0
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,28.00 - 28.99,3760,0.1,1645,0.1,1385,0
six half terms,201617,national,E92000001,England,State-funded secondary,20.00-29.99,29.00 - 29.99,3175,0.1,1240,0,1170,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,30.00 - 30.99,3410,0.1,1375,0,1215,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,31.00 - 31.99,2890,0.1,1190,0,1065,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,32.00 - 32.99,2765,0.1,1075,0,1040,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,33.00 - 33.99,2660,0.1,1145,0,1055,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,34.00 - 34.99,2065,0.1,840,0,895,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,35.00 - 35.99,2175,0.1,885,0,815,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,36.00 - 36.99,2060,0.1,770,0,805,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,37.00 - 37.99,2035,0.1,755,0,720,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,38.00 - 38.99,1800,0.1,660,0,690,0
six half terms,201617,national,E92000001,England,State-funded secondary,30.00-39.99,39.00 - 39.99,1525,0.1,580,0,590,0
six half terms,201617,national,E92000001,England,State-funded secondary,40.00-49.99,40.00 - 40.99,1790,0.1,705,0,760,0
six half terms,201617,national,E92000001,England,State-funded secondary,40.00-49.99,41.00 - 41.99,1540,0.1,560,0,610,0
six half terms,201617,national,E92000001,England,State-funded secondary,40.00-49.99,42.00 - 42.99,1555,0.1,540,0,605,0
six half terms,201617,national,E92000001,England,State-funded secondary,40.00-49.99,43.00 - 43.99,1375,0,475,0,560,0
