time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Pupil Referral Unit,1,157,21343,6512,2981,3531,30.5,14,16.5,104,66.2,1358,197,0,618,0,32,.,247,529,2981,20,9,3480,22,3531,6512
six half terms,201617,local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Pupil Referral Unit,1,174,39424,11615,6647,4968,29.5,16.9,12.6,142,81.6,1478,456,0,168,44,24,.,841,3627,6638,92,203,4673,0,4968,11606
six half terms,201617,local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Pupil Referral Unit,2,440,67608,18404,9103,9301,27.2,13.5,13.8,304,69.1,2446,299,16,103,0,52,.,921,5266,9103,201,46,9034,20,9301,18404
six half terms,201617,local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Pupil Referral Unit,2,221,53468,20410,13186,7224,38.2,24.7,13.5,173,78.3,2454,374,16,569,0,64,.,1228,8481,13186,121,575,6461,67,7224,20410
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Pupil Referral Unit,3,326,54107,14469,6168,8301,26.7,11.4,15.3,237,72.7,2149,386,0,299,0,154,.,1522,1658,6168,91,450,7712,48,8301,14469
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Pupil Referral Unit,3,349,53867,13646,6240,7406,25.3,11.6,13.7,255,73.1,2230,350,39,2189,0,85,.,293,1054,6240,203,289,6820,94,7406,13646
six half terms,201617,local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Pupil Referral Unit,5,323,57875,12619,4554,8065,21.8,7.9,13.9,211,65.3,2350,556,0,95,0,16,.,518,1019,4554,169,35,7797,64,8065,12619
six half terms,201617,local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Pupil Referral Unit,1,145,25316,6396,2736,3660,25.3,10.8,14.5,108,74.5,2125,238,0,68,0,83,.,19,203,2736,13,12,1832,1803,3660,6396
six half terms,201617,local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Pupil Referral Unit,2,286,72839,15723,8936,6787,21.6,12.3,9.3,200,69.9,2670,684,0,157,36,152,.,2131,3106,8936,113,4,6346,324,6787,15723
six half terms,201617,local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Pupil Referral Unit,1,77,15413,4487,2248,2239,29.1,14.6,14.5,59,76.6,647,112,0,0,0,0,.,137,1352,2248,26,119,2094,0,2239,4487
six half terms,201617,local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Pupil Referral Unit,1,219,34422,12727,5728,6999,37,16.6,20.3,167,76.3,1558,295,0,21,0,36,.,224,3594,5728,94,285,6618,2,6999,12727
six half terms,201617,local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Pupil Referral Unit,2,108,27495,8937,2807,6130,32.5,10.2,22.3,85,78.7,1401,211,0,218,0,36,.,277,664,2807,60,275,5756,39,6130,8937
six half terms,201617,local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Pupil Referral Unit,8,788,188912,91408,66693,24715,48.4,35.3,13.1,709,90,10423,1170,4,2156,0,116,.,3216,49608,66693,195,694,23665,161,24715,91408
six half terms,201617,local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Pupil Referral Unit,2,300,43702,20286,10874,9412,46.4,24.9,21.5,228,76,718,1002,0,1,0,0,.,313,8840,10874,152,1499,7746,15,9412,20286
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Pupil Referral Unit,1,36,8930,1257,914,343,14.1,10.2,3.8,15,41.7,218,79,0,0,0,24,.,0,593,914,0,0,343,0,343,1257
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Pupil Referral Unit,2,291,33879,7211,2505,4706,21.3,7.4,13.9,173,59.5,1046,140,18,5,0,12,.,99,1185,2505,4,165,4525,12,4706,7211
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Pupil Referral Unit,6,510,99690,47302,36970,10332,47.4,37.1,10.4,409,80.2,3721,486,9,286,0,145,.,1200,31123,36970,126,590,9585,31,10332,47302
