time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Pupil Referral Unit,4,169,42523,13555,7914,5641,31.9,18.6,13.3,121,71.6,1852,376,14,247,0,10,.,1438,3975,7912,6,831,4693,105,5635,13547
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Pupil Referral Unit,1,76,17570,2221,592,1629,12.6,3.4,9.3,31,40.8,255,50,3,0,0,66,.,98,120,592,0,0,1629,0,1629,2221
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Pupil Referral Unit,2,215,45881,11712,5918,5794,25.5,12.9,12.6,134,62.3,1951,262,22,158,0,81,.,1072,2372,5918,0,863,4895,36,5794,11712
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Pupil Referral Unit,1,212,45626,12372,5171,7201,27.1,11.3,15.8,143,67.5,821,178,10,263,0,77,.,6,3816,5171,164,0,7029,8,7201,12372
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Pupil Referral Unit,1,149,34583,11135,3688,7447,32.2,10.7,21.5,112,75.2,617,191,4,261,0,52,.,1422,1141,3688,0,727,6720,0,7447,11135
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Pupil Referral Unit,2,367,64049,21051,6393,14658,32.9,10,22.9,291,79.3,2895,415,45,840,0,36,.,1166,996,6393,141,96,14376,45,14658,21051
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Pupil Referral Unit,3,562,46017,12191,4232,7959,26.5,9.2,17.3,321,57.1,1223,1088,45,320,0,37,.,13,1502,4228,51,0,7902,0,7953,12181
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Pupil Referral Unit,1,76,18346,3433,1083,2350,18.7,5.9,12.8,48,63.2,435,98,35,0,0,19,.,284,212,1083,75,0,2228,47,2350,3433
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Pupil Referral Unit,1,306,49019,15918,7510,8408,32.5,15.3,17.2,220,71.9,2552,428,16,473,0,26,.,133,3882,7510,97,278,7882,79,8336,15846
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Pupil Referral Unit,2,210,36820,13331,10070,3261,36.2,27.3,8.9,149,71,2059,170,21,344,0,97,.,285,7094,10070,10,199,3034,18,3261,13331
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Pupil Referral Unit,1,183,33776,8637,3457,5180,25.6,10.2,15.3,125,68.3,1512,992,0,0,0,0,.,592,361,3457,62,370,4741,7,5180,8637
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Pupil Referral Unit,2,121,26407,7076,3505,3571,26.8,13.3,13.5,89,73.6,1558,300,49,0,0,22,.,589,987,3505,94,357,3104,16,3571,7076
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Pupil Referral Unit,2,207,48164,7474,4376,3098,15.5,9.1,6.4,108,52.2,2509,493,2,173,0,28,.,233,938,4376,90,519,2483,6,3098,7474
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Pupil Referral Unit,4,382,86200,36045,19109,16936,41.8,22.2,19.6,322,84.3,3619,651,29,200,59,36,.,1488,13027,19109,90,2204,14517,125,16936,36045
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Pupil Referral Unit,2,173,23788,6630,3843,2787,27.9,16.2,11.7,122,70.5,1407,201,46,555,0,45,.,183,1406,3843,43,329,2410,5,2787,6630
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Pupil Referral Unit,1,140,32079,9021,3188,5833,28.1,9.9,18.2,95,67.9,473,99,15,276,0,22,.,680,1623,3188,25,13,5773,22,5833,9021
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Pupil Referral Unit,2,220,30717,3771,1746,2025,12.3,5.7,6.6,73,33.2,655,149,15,8,0,10,.,426,293,1556,80,94,1637,0,1811,3367
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Pupil Referral Unit,2,266,43495,11397,4106,7291,26.2,9.4,16.8,180,67.7,1603,359,57,21,0,4,.,1027,1035,4106,51,1370,5371,499,7291,11397
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Pupil Referral Unit,1,145,25245,10131,5570,4561,40.1,22.1,18.1,126,86.9,3297,155,6,2,0,0,.,450,1660,5570,62,255,4228,16,4561,10131
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Pupil Referral Unit,1,172,35409,10884,4559,6325,30.7,12.9,17.9,111,64.5,844,148,8,824,4,8,.,272,2451,4559,8,85,6200,32,6325,10884
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Pupil Referral Unit,1,177,43171,10377,4969,5408,24,11.5,12.5,104,58.8,2105,176,24,0,0,24,.,501,2139,4969,120,0,5283,5,5408,10377
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Pupil Referral Unit,1,93,16107,6462,2306,4156,40.1,14.3,25.8,79,84.9,623,124,0,0,0,24,.,22,1513,2306,28,594,3529,5,4156,6462
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Pupil Referral Unit,1,153,27205,5064,2667,2397,18.6,9.8,8.8,93,60.8,964,133,0,362,0,0,.,577,631,2667,65,0,2332,0,2397,5064
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Pupil Referral Unit,3,408,50002,17423,6736,10687,34.8,13.5,21.4,326,79.9,2433,658,87,170,0,0,.,734,2399,6481,136,169,10082,6,10393,16874
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Pupil Referral Unit,4,159,33359,9168,3762,5406,27.5,11.3,16.2,111,69.8,1190,182,89,28,0,0,.,628,1645,3762,4,487,4897,18,5406,9168
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Pupil Referral Unit,2,236,57855,17250,9134,8116,29.8,15.8,14,192,81.4,3149,550,18,0,0,0,.,804,4613,9134,32,1355,6729,0,8116,17250
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Pupil Referral Unit,3,248,47269,9452,2792,6660,20,5.9,14.1,116,46.8,1144,447,25,0,0,0,.,372,804,2792,145,649,5866,0,6660,9452
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Pupil Referral Unit,7,1253,281964,91971,51474,40497,32.6,18.3,14.4,884,70.6,10472,2028,478,266,0,183,.,2818,35123,51368,441,1555,37510,991,40497,91865
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Pupil Referral Unit,3,271,54703,17525,6256,11269,32,11.4,20.6,210,77.5,2770,337,2,21,0,172,.,181,2773,6256,0,240,7233,3796,11269,17525
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Pupil Referral Unit,2,203,36644,14388,12173,2215,39.3,33.2,6,178,87.7,1629,540,4,0,0,31,.,68,9901,12173,78,125,2011,1,2215,14388
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Pupil Referral Unit,3,386,84823,24648,15133,9515,29.1,17.8,11.2,233,60.4,4175,909,31,2103,1,20,.,1649,6245,15133,204,332,8972,7,9515,24648
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Pupil Referral Unit,3,134,31690,5632,2687,2945,17.8,8.5,9.3,79,59,1597,148,6,4,0,24,.,170,738,2687,90,229,2626,0,2945,5632
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Pupil Referral Unit,2,213,54260,21269,6804,14465,39.2,12.5,26.7,176,82.6,1495,315,24,63,0,6,.,875,4026,6804,52,223,14185,5,14465,21269
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Pupil Referral Unit,4,245,54720,20799,12141,8658,38,22.2,15.8,192,78.4,2238,546,2,0,0,80,.,1036,8239,12141,81,2,8560,15,8658,20799
six half terms,201516,local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Pupil Referral Unit,1,150,41661,10079,4181,5898,24.2,10,14.2,99,66,1160,268,0,0,0,0,.,212,2541,4181,181,27,3668,2022,5898,10079
six half terms,201516,local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Pupil Referral Unit,3,445,70931,13944,6146,7798,19.7,8.7,11,283,63.6,3345,455,4,0,25,56,.,1241,1020,6146,50,84,7643,21,7798,13944
six half terms,201516,local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Pupil Referral Unit,2,288,68189,29104,14659,14445,42.7,21.5,21.2,247,85.8,3578,348,0,4,0,0,.,524,10205,14659,220,0,14219,6,14445,29104
six half terms,201516,local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Pupil Referral Unit,2,208,45421,11642,5163,6479,25.6,11.4,14.3,141,67.8,1970,283,0,0,0,70,.,404,2436,5163,4,48,6427,0,6479,11642
six half terms,201516,local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Pupil Referral Unit,1,129,34408,13095,3897,9198,38.1,11.3,26.7,110,85.3,2800,356,0,0,0,14,.,140,587,3897,138,1450,7602,8,9198,13095
six half terms,201516,local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Pupil Referral Unit,4,301,57750,22096,18638,3458,38.3,32.3,6,221,73.4,2679,465,8,1225,0,163,.,135,13963,18638,6,0,3306,146,3458,22096
six half terms,201516,local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Pupil Referral Unit,2,181,38146,9597,3351,6246,25.2,8.8,16.4,131,72.4,1167,156,4,31,0,3,.,768,1222,3351,160,566,5520,0,6246,9597
six half terms,201516,local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Pupil Referral Unit,2,550,145549,45727,24511,21216,31.4,16.8,14.6,433,78.7,5760,1027,74,192,0,4,.,2977,14477,24511,36,2693,18457,30,21216,45727
six half terms,201516,local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Pupil Referral Unit,1,185,34082,17027,12357,4670,50,36.3,13.7,153,82.7,1659,362,63,0,0,116,.,744,9413,12357,104,0,4566,0,4670,17027
six half terms,201516,local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Pupil Referral Unit,1,186,45180,22343,10691,11652,49.5,23.7,25.8,162,87.1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0
six half terms,201516,local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Pupil Referral Unit,4,257,48144,14083,7039,7044,29.3,14.6,14.6,162,63,2320,283,9,5,0,2,.,228,4190,7037,45,14,6947,36,7042,14079
six half terms,201516,local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Pupil Referral Unit,3,216,46918,19578,9896,9682,41.7,21.1,20.6,182,84.3,2146,366,2,108,0,30,.,317,6927,9896,62,449,9165,6,9682,19578
six half terms,201516,local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Pupil Referral Unit,1,179,38891,20171,9134,11037,51.9,23.5,28.4,170,95,1231,153,2,594,0,0,.,1745,5409,9134,63,516,8204,2254,11037,20171
six half terms,201516,local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Pupil Referral Unit,2,164,28270,11712,8484,3228,41.4,30,11.4,118,72,1721,147,1,0,0,28,.,93,6494,8484,0,78,3148,2,3228,11712
six half terms,201516,local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Pupil Referral Unit,1,230,54381,26327,7639,18688,48.4,14,34.4,190,82.6,1759,466,2,303,0,2,.,1927,3180,7639,154,895,17581,58,18688,26327
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Pupil Referral Unit,1,146,36250,10533,4914,5619,29.1,13.6,15.5,115,78.8,1314,371,0,3,0,0,.,36,3190,4914,87,2,5530,0,5619,10533
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Pupil Referral Unit,3,281,57825,11409,7208,4201,19.7,12.5,7.3,164,58.4,2679,465,0,8,0,16,.,962,3078,7208,153,12,4004,32,4201,11409
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Pupil Referral Unit,2,211,51498,19876,10599,9277,38.6,20.6,18,173,82,2156,406,8,9,0,36,.,1172,6812,10599,161,4,9110,2,9277,19876
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Pupil Referral Unit,1,277,68236,16955,5986,10969,24.8,8.8,16.1,196,70.8,2212,245,80,0,0,6,.,89,3354,5986,722,0,9997,250,10969,16955
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Pupil Referral Unit,5,490,100743,29469,10806,18663,29.3,10.7,18.5,316,64.5,4057,808,204,21,0,130,.,525,5061,10806,295,385,16338,1645,18663,29469
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Pupil Referral Unit,1,108,25084,6861,2261,4600,27.4,9,18.3,84,77.8,999,158,29,0,22,32,.,504,517,2261,0,0,4600,0,4600,6861
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Pupil Referral Unit,3,205,31942,9505,5896,3609,29.8,18.5,11.3,141,68.8,1445,246,21,0,0,50,.,121,4012,5895,53,8,3537,7,3605,9500
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Pupil Referral Unit,4,225,36527,10048,3536,6512,27.5,9.7,17.8,144,64,1474,235,20,6,0,0,.,542,1259,3536,72,4,6275,161,6512,10048
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Pupil Referral Unit,3,177,42408,15724,6451,9273,37.1,15.2,21.9,136,76.8,2240,389,4,0,0,37,.,572,3209,6451,66,252,8951,4,9273,15724
six half terms,201516,local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Pupil Referral Unit,1,186,36682,16627,10254,6373,45.3,28,17.4,162,87.1,2565,297,1,123,0,0,.,239,7029,10254,116,466,5789,2,6373,16627
six half terms,201516,local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Pupil Referral Unit,1,311,90676,31739,13020,18719,35,14.4,20.6,258,83,3095,417,8,223,0,154,.,325,8798,13020,175,1522,15804,1218,18719,31739
six half terms,201516,local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Pupil Referral Unit,1,169,36054,9802,7151,2651,27.2,19.8,7.4,117,69.2,2530,405,0,0,0,0,.,153,4063,7151,0,0,2208,443,2651,9802
six half terms,201516,local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Pupil Referral Unit,1,71,12582,2467,1427,1040,19.6,11.3,8.3,39,54.9,568,95,4,0,0,26,.,180,554,1427,36,0,1003,1,1040,2467
six half terms,201516,local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Pupil Referral Unit,4,230,55251,13819,8812,5007,25,15.9,9.1,151,65.7,2587,436,0,160,0,37,.,287,5305,8812,0,13,4985,9,5007,13819
six half terms,201516,local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Pupil Referral Unit,4,923,103955,69720,63804,5916,67.1,61.4,5.7,896,97.1,3664,720,19,185,0,155,.,925,58136,63804,222,380,5273,41,5916,69720
six half terms,201516,local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Pupil Referral Unit,1,153,38893,15655,12825,2830,40.3,33,7.3,128,83.7,2161,283,0,0,34,0,.,776,9571,12825,109,0,2721,0,2830,15655
six half terms,201516,local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Pupil Referral Unit,1,142,29497,13965,12928,1037,47.3,43.8,3.5,119,83.8,2067,228,0,9,28,6,.,122,10468,12928,108,0,916,13,1037,13965
six half terms,201516,local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Pupil Referral Unit,1,68,11358,3734,1385,2349,32.9,12.2,20.7,48,70.6,369,155,0,0,0,0,.,247,614,1385,0,98,2248,3,2349,3734
six half terms,201516,local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Pupil Referral Unit,3,228,45893,14758,5987,8771,32.2,13,19.1,183,80.3,2081,441,12,7,0,24,.,791,2631,5987,184,177,8381,29,8771,14758
six half terms,201516,local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Pupil Referral Unit,1,182,39634,4384,1116,3268,11.1,2.8,8.2,63,34.6,659,61,0,20,0,12,.,0,364,1116,10,0,3251,7,3268,4384
six half terms,201516,local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Pupil Referral Unit,1,120,25088,7100,2265,4835,28.3,9,19.3,96,80,765,242,2,116,0,4,.,103,1033,2265,86,21,4655,73,4835,7100
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Pupil Referral Unit,6,482,107443,19037,7629,11408,17.7,7.1,10.6,230,47.7,2942,806,0,40,0,140,.,490,3211,7629,152,134,11016,106,11408,19037
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Pupil Referral Unit,1,71,10753,1772,1123,649,16.5,10.4,6,41,57.7,333,90,0,0,0,0,.,352,348,1123,0,0,647,2,649,1772
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Pupil Referral Unit,2,275,68789,24080,9594,14486,35,13.9,21.1,227,82.5,2197,270,0,187,0,19,.,2221,4700,9594,208,1346,12884,48,14486,24080
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Pupil Referral Unit,2,59,10580,2013,958,1055,19,9.1,10,35,59.3,442,79,0,19,0,6,.,211,201,958,6,50,997,2,1055,2013
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Pupil Referral Unit,5,227,35129,10312,6502,3810,29.4,18.5,10.8,170,74.9,2163,355,1,149,0,57,.,158,3619,6502,50,264,3480,16,3810,10312
six half terms,201516,local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Pupil Referral Unit,1,228,48892,11296,4689,6607,23.1,9.6,13.5,155,68,2460,442,0,116,1,178,.,336,1156,4689,0,73,6465,69,6607,11296
six half terms,201516,local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Pupil Referral Unit,1,74,10011,1547,927,620,15.5,9.3,6.2,40,54.1,353,86,26,197,0,18,.,131,116,927,4,230,386,0,620,1547
six half terms,201516,local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Pupil Referral Unit,1,178,21847,7200,5311,1889,33,24.3,8.6,121,68,1655,202,5,119,34,32,.,367,2897,5311,10,1,1863,15,1889,7200
six half terms,201516,local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Pupil Referral Unit,1,166,37548,12936,8774,4162,34.5,23.4,11.1,139,83.7,2242,219,0,189,230,22,.,1269,4603,8774,118,115,3911,18,4162,12936
six half terms,201516,local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Pupil Referral Unit,2,488,67530,16387,9317,7070,24.3,13.8,10.5,313,64.1,2287,302,30,317,1,54,.,597,5729,9317,43,7,7018,2,7070,16387
six half terms,201516,local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Pupil Referral Unit,2,241,58010,19378,11124,8254,33.4,19.2,14.2,194,80.5,3060,317,10,10,0,48,.,1495,6184,11124,64,731,7364,95,8254,19378
six half terms,201516,local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Pupil Referral Unit,3,309,56335,15629,5618,10011,27.7,10,17.8,234,75.7,2285,362,0,51,0,46,.,1268,1606,5618,62,204,9714,31,10011,15629
six half terms,201516,local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Pupil Referral Unit,3,373,51601,13322,6954,6368,25.8,13.5,12.3,248,66.5,2258,487,20,2920,0,39,.,349,881,6954,109,99,6129,31,6368,13322
six half terms,201516,local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Pupil Referral Unit,5,343,54837,11608,4297,7311,21.2,7.8,13.3,221,64.4,2439,421,0,35,0,37,.,648,717,4297,100,41,7169,1,7311,11608
six half terms,201516,local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Pupil Referral Unit,1,147,22424,5174,2395,2779,23.1,10.7,12.4,105,71.4,1749,230,1,16,0,43,.,26,330,2395,40,8,1335,1396,2779,5174
six half terms,201516,local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Pupil Referral Unit,1,197,46060,13487,5380,8107,29.3,11.7,17.6,149,75.6,2091,429,0,25,0,58,.,1227,1550,5380,52,41,7982,32,8107,13487
six half terms,201516,local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Pupil Referral Unit,1,86,15300,4466,1935,2531,29.2,12.6,16.5,65,75.6,607,120,0,0,0,20,.,117,1071,1935,15,149,2367,0,2531,4466
six half terms,201516,local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Pupil Referral Unit,1,198,30623,10306,4357,5949,33.7,14.2,19.4,131,66.2,1197,227,0,261,0,0,.,267,2405,4357,31,399,5511,8,5949,10306
six half terms,201516,local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Pupil Referral Unit,2,109,27677,8769,3999,4770,31.7,14.4,17.2,90,82.6,1239,187,6,197,1,71,.,338,1960,3999,116,301,4238,115,4770,8769
six half terms,201516,local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Pupil Referral Unit,7,800,178313,77649,56467,21182,43.5,31.7,11.9,686,85.8,6896,1590,4,1383,160,145,.,2589,41757,54524,140,640,19780,22,20582,75106
six half terms,201516,local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Pupil Referral Unit,2,258,40736,17649,12364,5285,43.3,30.4,13,184,71.3,1344,1194,4,71,0,0,.,188,9563,12364,59,707,4517,2,5285,17649
six half terms,201516,local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Pupil Referral Unit,1,42,8827,1153,1094,59,13.1,12.4,0.7,18,42.9,493,141,0,0,0,30,.,0,430,1094,10,0,49,0,59,1153
six half terms,201516,local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Pupil Referral Unit,2,247,29521,4887,1622,3265,16.6,5.5,11.1,117,47.4,758,100,15,5,1,6,.,56,681,1622,9,153,3093,10,3265,4887
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Pupil Referral Unit,6,517,98855,43177,33692,9485,43.7,34.1,9.6,408,78.9,3698,483,4,850,0,125,.,1321,27211,33692,85,498,8844,58,9485,43177
six half terms,201516,local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Pupil Referral Unit,2,129,21968,3295,1844,1451,15,8.4,6.6,55,42.6,1131,110,8,0,0,41,.,0,554,1844,73,13,1363,2,1451,3295
six half terms,201516,local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Pupil Referral Unit,1,234,54867,19483,12566,6917,35.5,22.9,12.6,163,69.7,2854,313,7,180,0,68,.,710,8434,12566,108,1469,5291,49,6917,19483
six half terms,201516,local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Pupil Referral Unit,1,80,16795,7813,4788,3025,46.5,28.5,18,74,92.5,298,71,2,345,0,0,.,308,3764,4788,61,266,2698,0,3025,7813
six half terms,201516,local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Pupil Referral Unit,1,25,4543,1781,1406,375,39.2,30.9,8.3,19,76,100,15,7,35,0,0,.,32,1217,1406,22,0,350,3,375,1781
six half terms,201516,local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Pupil Referral Unit,2,139,26404,6196,4328,1868,23.5,16.4,7.1,81,58.3,1056,164,0,88,0,64,.,118,2838,4328,14,80,1772,2,1868,6196
six half terms,201516,local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Pupil Referral Unit,1,124,30783,16541,13543,2998,53.7,44,9.7,113,91.1,817,114,12,0,0,0,.,341,12259,13543,57,170,2771,0,2998,16541
six half terms,201516,local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Pupil Referral Unit,1,180,34096,8292,3630,4662,24.3,10.6,13.7,118,65.6,601,65,13,89,0,30,.,91,931,1820,20,24,2571,0,2615,4435
six half terms,201516,local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Pupil Referral Unit,2,93,16528,8216,7265,951,49.7,44,5.8,83,89.2,746,201,0,0,0,22,.,63,6110,7142,28,33,845,0,906,8048
six half terms,201516,local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Pupil Referral Unit,3,110,22756,9272,5944,3328,40.7,26.1,14.6,96,87.3,725,103,2,826,0,0,.,1052,3236,5944,50,33,3233,12,3328,9272
six half terms,201516,local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Pupil Referral Unit,1,273,55018,26581,20840,5741,48.3,37.9,10.4,243,89,773,158,12,41,4,1,.,1520,18331,20840,80,1296,4350,15,5741,26581
six half terms,201516,local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Pupil Referral Unit,1,76,15607,5380,1498,3882,34.5,9.6,24.9,63,82.9,740,243,0,1,0,8,.,195,311,1498,78,614,3186,4,3882,5380
six half terms,201516,local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Pupil Referral Unit,1,100,18057,4525,1577,2948,25.1,8.7,16.3,68,68,1008,242,0,2,0,30,.,106,189,1577,88,0,2827,33,2948,4525
six half terms,201516,local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Pupil Referral Unit,3,426,68809,18250,13334,4916,26.5,19.4,7.1,293,68.8,5167,590,2,2,0,73,.,391,7109,13334,128,756,4029,3,4916,18250
six half terms,201516,local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Pupil Referral Unit,1,335,65692,18571,7809,10762,28.3,11.9,16.4,214,63.9,3812,581,1,2,10,30,.,1016,2357,7809,60,46,10303,353,10762,18571
six half terms,201516,local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Pupil Referral Unit,6,954,216127,92682,71607,21075,42.9,33.1,9.8,802,84.1,8355,1355,9,338,64,51,.,2165,59270,71607,320,648,20079,28,21075,92682
six half terms,201516,local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Pupil Referral Unit,2,173,43079,13348,5047,8301,31,11.7,19.3,113,65.3,1590,277,0,190,0,27,.,128,2835,5047,99,255,7936,11,8301,13348
